Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan Location,Your rating,Your price,Your review,Personal note,Wine type,Drinking window,Food pairing,Link to wine,Label image,Bottles in cellar
Michel Juillot,Mercurey Premier Cru 'Clos Tonnerre',2016,Mercurey Premier Cru,France,Burgundy Côte Chalonnaise Red,4.2,2019-05-10 20:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/144894485,https://images.vivino.com/labels/8ovCZUBCTtCx5B8C7qqFXw.jpg,1
Duemani,Suisassi Syrah,2013,Costa Toscana,Italy,Tuscan Red,4.2,2019-05-10 20:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Veal, Poultry, Cured Meat",https://www.vivino.com/wines/8383321,https://images.vivino.com/labels/aiC4AeDWQ0y2gvs6F56LGA.jpg,2
Duemani,Duemani Cabernet Franc,2012,Costa Toscana,Italy,Tuscan Red,4.3,2019-05-10 20:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Veal, Poultry, Cured Meat",https://www.vivino.com/wines/4435834,https://images.vivino.com/labels/gnJTThW5R8OaedJx0XJS9Q.jpg,2
Marqués de Murrieta,Castillo Ygay Gran Reserva Especial Cosecha Tinto,2009,Rioja,Spain,Spanish Rioja Red,4.3,2019-05-10 20:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Veal, Poultry",https://www.vivino.com/wines/1350735,https://images.vivino.com/labels/avnuXotST7SwTl4x5CQcFw.jpg,1
Ziereisen,Schulen,2016,Baden,Germany,German Spätburgunder,3.8,2019-05-10 20:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/160261980,https://images.vivino.com/labels/Tl9Tj_cOSmGhtm9KPYC11w.jpg,1
Weinbau Cottinelli,Halde Chur Reserve Pinot Noir,2016,Graubünden,Switzerland,Swiss Pinot Noir,4.3,2019-05-10 20:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/156504071,https://images.vivino.com/labels/UP7JMo6_SaiUx_w2asoLBg.jpg,1
Weingut Arndt Köbelin,Spätburgunder Lösswand,2016,Rheinhessen,Germany,German Spätburgunder,4.2,2019-05-10 19:07,"",Not given,Unknown,"","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/153410086,https://images.vivino.com/labels/mKgQQgE3Rnm313EOkEAkzQ.jpg,1
Gut Von Beiden,Scheinwerfer Qualität Verbindet,2015,,,,4.0,2019-05-10 19:07,"",Not given,Unknown,"","",Unknown,"","",https://www.vivino.com/wines/151154790,https://images.vivino.com/labels/yLW33DVIQ2mkyagPW_8Zpg.jpg,1
Domaine Zind Humbrecht,Riesling Alsace Grand Cru  Brand,2004,Alsace Grand Cru,France,Alsace Riesling,4.5,2019-05-10 19:07,"",Not given,Unknown,"","",White Wine,"","Pork, Rich fish (salmon, tuna etc), Spicy food, Vegetarian, Cured Meat",https://www.vivino.com/wines/1776649,https://images.vivino.com/labels/yusfnchdShGar1qO-mCKZA.jpg,2
Bodegas Ximénez-Spínola,Finest Old Harvest Medium,1964,Jerez-Xérès-Sherry,Spain,Spanish Sherry,4.2,2019-05-09 19:07,"",Not given,Unknown,"","",Fortified Wine,"","Sweet desserts, Mature and hard cheese, Appetizers and snacks, Aperitif, Cured Meat",https://www.vivino.com/wines/150624649,https://images.vivino.com/labels/XqhkCOVIRxiSoXX_fonCvQ.jpg,2
